タイトル,住所,dslurl,Webサイト,電話番号,営業時間,rental,longitude,latitude,pref,primary_station,distance_to_primary_station_m,candidate_stations,station_count,ward,primary_area,candidate_areas,article_tags,is_partner
サウンドスタジオノア 中野店,〒164-0001 東京都中野区中野３丁目３９?２,,https://www.studionoah.jp/nakano/,03-6304-8606,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.7041516,139.6642213,東京,中野駅,231,中野駅,1,中野区,中野,中野,area:中野|station:中野駅|feature:24h,
サウンドスタジオノア 目黒不動前店,〒141-0031 東京都品川区西五反田４丁目３２?１４ 不動前ノアビル,,https://www.studionoah.jp/fudomae/,03-6910-4550,"2024-02-29 木曜日 10時00分～22時00分
2024-03-01 金曜日 10時00分～22時00分
2024-03-02 土曜日 8時00分～22時00分
2024-03-03 日曜日 8時00分～22時00分
2024-03-04 月曜日 10時00分～22時00分
2024-03-05 火曜日 10時00分～22時00分
2024-03-06 水曜日 10時00分～22時00分
",1,35.6259299,139.7136672,東京,五反田駅,886,五反田駅|目黒駅,2,品川区,品川,品川|五反田|大井町|目黒,area:品川|station:五反田駅|station:目黒駅|feature:24h,
ソニズレンタルスタジオ南阿佐ヶ谷店,〒166-0015 東京都杉並区成田東５丁目３９?１２ グローリーハイツ南阿佐ケ谷榎本 B1F,,https://sonysdance.com/,,"2024-02-29 木曜日 6時00分～23時00分
2024-03-01 金曜日 6時00分～23時00分
2024-03-02 土曜日 6時00分～23時00分
2024-03-03 日曜日 6時00分～23時00分
2024-03-04 月曜日 6時00分～23時00分
2024-03-05 火曜日 6時00分～23時00分
2024-03-06 水曜日 6時00分～23時00分
",1,35.6995228,139.6342706,東京,なし,,,0,杉並区,高円寺,高円寺,area:高円寺|feature:24h,
サウンドスタジオノア 野方店,〒165-0027 東京都中野区野方３丁目３０?７,,https://www.studionoah.jp/nogata/,03-5380-1969,"2024-02-29 木曜日 9時00分～6時00分
2024-03-01 金曜日 9時00分～6時00分
2024-03-02 土曜日 9時00分～6時00分
2024-03-03 日曜日 9時00分～23時00分
2024-03-04 月曜日 9時00分～6時00分
2024-03-05 火曜日 9時00分～6時00分
2024-03-06 水曜日 9時00分～6時00分
",1,35.7192722,139.6540263,東京,なし,,,0,中野区,中野,中野,area:中野|feature:24h,
サウンドスタジオノア銀座店,〒104-0061 東京都中央区銀座３丁目９?２,,http://ginza.studionoah.jp/,03-3524-2155,"2024-02-29 木曜日 9時00分～23時00分
2024-03-01 金曜日 9時00分～23時00分
2024-03-02 土曜日 8時00分～23時00分
2024-03-03 日曜日 8時00分～23時00分
2024-03-04 月曜日 9時00分～23時00分
2024-03-05 火曜日 9時00分～23時00分
2024-03-06 水曜日 9時00分～23時00分
",1,35.6719194,139.7681246,東京,有楽町駅,557,有楽町駅|東京駅|新橋駅,3,中央区,銀座,銀座|日本橋|八丁堀|月島,area:銀座|station:有楽町駅|station:東京駅|station:新橋駅|feature:24h,
サウンドスタジオノア駒沢店,〒154-0011 東京都世田谷区上馬４丁目２?７ ６F,,https://www.studionoah.jp/komazawa/,03-5433-5711,"2024-02-29 木曜日 9時00分～6時00分
2024-03-01 金曜日 9時00分～0時00分
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 0時00分～23時00分
2024-03-04 月曜日 9時00分～23時00分
2024-03-05 火曜日 9時00分～6時00分
2024-03-06 水曜日 9時00分～6時00分
",1,35.6345084,139.6629264,東京,三軒茶屋駅,1180,三軒茶屋駅,1,世田谷区,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,area:下北沢|station:三軒茶屋駅|feature:24h,
サウンドスタジオノア都立大店,〒152-0031 東京都目黒区中根１丁目２?２,,https://www.studionoah.jp/toritsudai/,03-3725-0010,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.618255,139.6764201,東京,なし,,,0,目黒区,中目黒,中目黒,area:中目黒|feature:24h,
サカモトトモキ・ダンススタジオ,〒162-0805 東京都新宿区矢来町６５ 2階,,https://sinjyuku-shakoudance.webnode.jp/,03-5261-5830,"2024-02-29 木曜日 12時30分～21時30分
2024-03-01 金曜日 12時30分～21時30分
2024-03-02 土曜日 12時30分～18時30分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 12時30分～21時30分
2024-03-05 火曜日 12時30分～21時30分
2024-03-06 水曜日 12時30分～21時30分
",1,35.7039587,139.7329617,東京,なし,,,0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|feature:24h,
ささらバレエアカデミー 平井駅,〒132-0035 東京都江戸川区平井５丁目２２?１２ 加瀬電機ビル,,https://sasalaballet.wixsite.com/sasala,090-4596-2991,,1,35.707721,139.8425299,東京,なし,,,0,江戸川区,西葛西,西葛西,area:西葛西,
TONIC DANCE STUDIO 阿佐ヶ谷,〒166-0004 東京都杉並区阿佐谷南３丁目１?２１ 徳和ビル 地下1階,,https://www.tonicdancestudio.com/asagaya,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.7016692,139.6358645,東京,なし,,,0,杉並区,高円寺,高円寺,area:高円寺|feature:24h,
サムシン コンビニエンス スタジオ,〒104-0032 東京都中央区八丁堀２丁目１?２ 水澤ビル,,http://sumthin-studio.com/,03-6222-8987,,1,35.6776233,139.7748927,東京,東京駅,808,東京駅|有楽町駅,2,中央区,銀座,銀座|日本橋|八丁堀|月島,area:銀座|station:東京駅|station:有楽町駅,
サムズダンススタジオ,〒158-0097 東京都世田谷区用賀４丁目１１?４ 福島第一ビル 2F,,http://www.sams-ds.com/,03-3708-3945,"2024-02-29 木曜日 12時00分～22時00分
2024-03-01 金曜日 12時00分～22時00分
2024-03-02 土曜日 12時00分～22時00分
2024-03-03 日曜日 12時00分～22時00分
2024-03-04 月曜日 12時00分～22時00分
2024-03-05 火曜日 12時00分～22時00分
2024-03-06 水曜日 12時00分～22時00分
",1,35.6270504,139.6341611,東京,なし,,,0,世田谷区,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,area:下北沢|feature:24h,
サラ・プランタ,〒150-0013 東京都渋谷区恵比寿１丁目１６?番28号 2?4階 Tkビル,,https://sala-planta.iberia-j.com/,03-3449-0596,"2024-02-29 木曜日 10時00分～22時00分
2024-03-01 金曜日 10時00分～22時00分
2024-03-02 土曜日 10時00分～22時00分
2024-03-03 日曜日 10時00分～22時00分
2024-03-04 月曜日 10時00分～22時00分
2024-03-05 火曜日 10時00分～22時00分
2024-03-06 水曜日 10時00分～22時00分
",1,35.6479448,139.7131873,東京,恵比寿駅,311,恵比寿駅,1,渋谷区,渋谷,渋谷|恵比寿|代官山|原宿,area:渋谷|station:恵比寿駅|feature:24h,
サワミュージカルスタジオ,"関島ビル B2F, １丁目-１４-１２ 弥生町 中野区 東京都 164-0013",,http://studio.dp-sawa.com/,03-3352-1822,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6906824,139.6813867,東京,なし,,,0,中野区,中野,中野,area:中野|feature:24h,
サン・スタジオ,〒152-0034 東京都目黒区緑が丘２丁目７?８,,http://www.sun-studio1.com/,03-5729-0065,,1,35.6088717,139.6745205,東京,自由が丘駅,536,自由が丘駅,1,目黒区,中目黒,中目黒,area:中目黒|station:自由が丘駅,
クリエイティブスペース・フュージョン,〒167-0053 東京都杉並区西荻南３丁目２４?２４?１ 西荻マイロード 27,,https://creativespacefusion.com/,,"2024-02-29 木曜日 15時00分～22時30分
2024-03-01 金曜日 16時30分～22時30分
2024-03-02 土曜日 9時00分～22時30分
2024-03-03 日曜日 10時00分～22時00分
2024-03-04 月曜日 18時30分～22時30分
2024-03-05 火曜日 15時00分～22時30分
2024-03-06 水曜日 15時00分～22時30分
",1,35.7037771,139.6010593,東京,なし,,,0,杉並区,高円寺,高円寺,area:高円寺|feature:24h,
レンタルスタジオ 阿佐ヶ谷リノ,〒166-0015 東京都杉並区成田東５丁目２０?９,,https://asagaya-lino.linovery.com/,,"2024-02-29 木曜日 6時00分～22時00分
2024-03-01 金曜日 6時00分～22時00分
2024-03-02 土曜日 6時00分～22時00分
2024-03-03 日曜日 6時00分～22時00分
2024-03-04 月曜日 6時00分～22時00分
2024-03-05 火曜日 6時00分～22時00分
2024-03-06 水曜日 6時00分～22時00分
",1,35.7010783,139.6311827,東京,なし,,,0,杉並区,高円寺,高円寺,area:高円寺|feature:24h,
ジーロックス・スタジオ,〒168-0073 東京都杉並区下高井戸１丁目１５?１２,,http://www.groks.co.jp/,03-3325-3311,"2024-02-29 木曜日 11時00分～23時00分
2024-03-01 金曜日 11時00分～23時00分
2024-03-02 土曜日 11時00分～23時00分
2024-03-03 日曜日 11時00分～23時00分
2024-03-04 月曜日 11時00分～23時00分
2024-03-05 火曜日 11時00分～23時00分
2024-03-06 水曜日 11時00分～23時00分
",1,35.6675691,139.6370976,東京,なし,,,0,杉並区,高円寺,高円寺,area:高円寺|feature:24h,
BUZZ田無,〒188-8511 東京都西東京市田無町３丁目１０?１５ 京屋ビル 2階,,https://buzz-st.com/tanashi/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.7297714,139.5416633,東京,なし,,,0,西東京市,ひばりヶ丘,ひばりヶ丘,area:ひばりヶ丘|feature:24h,
ジムスタジオ IT'S MY TIME府中駅前店,〒183-0023 東京都府中市宮町１丁目23?３ 関口ビル 1階,,https://itsmytime.jp/,080-4356-1174,"2024-02-29 木曜日 10時00分～20時00分
2024-03-01 金曜日 10時00分～20時00分
2024-03-02 土曜日 10時00分～20時00分
2024-03-03 日曜日 10時00分～15時00分
2024-03-04 月曜日 10時00分～19時00分
2024-03-05 火曜日 10時00分～20時00分
2024-03-06 水曜日 10時00分～20時00分
",1,35.6707329,139.4819999,東京,府中駅,505,府中駅,1,府中市,府中,府中,area:府中|station:府中駅|feature:24h,
シャノワールレンタルスタジオ,〒110-0005 東京都台東区上野３丁目１４?５ ヴェルコ黒門ビル 地下1階,,https://chatnoir-studio.com/,050-3706-0720,"LGBTQ フレンドリー2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.705623,139.7728236,東京,秋葉原駅,782,秋葉原駅|上野駅,2,台東区,上野,上野|浅草|御徒町|蔵前,area:上野|station:秋葉原駅|station:上野駅|feature:24h,
ジャパンポールダンス,〒160-0021 東京都新宿区歌舞伎町１丁目２３?１２ 第一桑原ビル 5F,,https://www.japan-poledance.com/,03-6233-8042,,1,35.6944875,139.7010903,東京,西武新宿駅,161,西武新宿駅|新宿駅|新大久保駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅,
シュミネAスタジオStudioStyle+,〒169-0073 東京都新宿区百人町１丁目２４?７,,https://studiostyle.jp/chemine-a-studio/,090-8306-7493,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6986271,139.6975462,東京,新大久保駅,374,新大久保駅|西武新宿駅|新宿駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h,
ジョイ・バレエ ストゥーディオ 平和台スタジオ,〒179-0083 東京都練馬区平和台３丁目１５?１１ 飯塚ダンススタジオ,,https://joy-ballet-studio.com/,090-9802-6402,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 定休日
2024-03-01 金曜日 定休日
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 16時45分～18時40分
2024-03-05 火曜日 定休日
2024-03-06 水曜日 定休日
",1,35.7549666,139.6625881,東京,なし,,,0,練馬区,練馬,練馬,area:練馬|feature:24h,
ジョイ・バレエ ストゥーディオ 本部スタジオ,〒171-0052 東京都豊島区南長崎１丁目９?１６ ヒルトップビルド B1,,https://joy-ballet-studio.com/,090-9802-6402,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 定休日
2024-03-01 金曜日 定休日
2024-03-02 土曜日 9時00分～21時00分
2024-03-03 日曜日 9時00分～16時00分
2024-03-04 月曜日 定休日
2024-03-05 火曜日 10時00分～21時00分
2024-03-06 水曜日 15時00分～21時00分
",1,35.7244323,139.6940291,東京,なし,,,0,豊島区,池袋,池袋|目白|大塚|巣鴨,area:池袋|feature:24h,
シライシダンススタジオ,〒106-0047 東京都港区南麻布５丁目１０?２６ ＯＲＥ広尾ビル ２階,,http://shiraishidance.com/,03-6450-4143,"2024-02-29 木曜日 12時00分～22時00分
2024-03-01 金曜日 12時00分～22時00分
2024-03-02 土曜日 12時00分～22時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 12時00分～22時00分
2024-03-05 火曜日 12時00分～22時00分
2024-03-06 水曜日 12時00分～22時00分
",1,35.652829,139.722438,東京,麻布十番駅,1112,麻布十番駅,1,港区,六本木,六本木|赤坂|麻布|新橋,area:六本木|station:麻布十番駅|feature:24h,
シルクスタジオ,〒192-0912 東京都八王子市絹ケ丘１丁目２１?５,,https://hachioji.mypl.net/shop/00000359076/,042-657-3183,"2024-02-29 木曜日 10時00分～19時00分
2024-03-01 金曜日 10時00分～19時00分
2024-03-02 土曜日 10時00分～19時00分
2024-03-03 日曜日 10時00分～19時00分
2024-03-04 月曜日 10時00分～19時00分
2024-03-05 火曜日 10時00分～19時00分
2024-03-06 水曜日 10時00分～19時00分
",1,35.6397181,139.3620955,東京,なし,,,0,八王子市,八王子,八王子,area:八王子|feature:24h,
ジンドー学園,〒203-0014 東京都東久留米市東本町１?５ ジンドー学園ビル,,http://gakuen.jindo.jp/,042-475-6666,"2024-02-29 木曜日 10時00分～22時00分
2024-03-01 金曜日 10時00分～22時00分
2024-03-02 土曜日 10時00分～22時00分
2024-03-03 日曜日 10時00分～13時00分
2024-03-04 月曜日 10時00分～22時00分
2024-03-05 火曜日 10時00分～22時00分
2024-03-06 水曜日 10時00分～22時00分
",1,35.7615,139.533391,東京,なし,,,0,東久留米市,東久留米,東久留米,area:東久留米|feature:24h,
シンフォニー,〒114-0001 東京都北区東十条２丁目４?１２ 金鈴ビル,,https://sites.google.com/view/higashijujo-symphony/ホーム,03-3927-9255,"2024-02-29 木曜日 11時00分～21時30分
2024-03-01 金曜日 11時00分～21時30分
2024-03-02 土曜日 14時00分～21時30分
2024-03-03 日曜日 14時00分～21時30分
2024-03-04 月曜日 11時00分～21時30分
2024-03-05 火曜日 11時00分～21時30分
2024-03-06 水曜日 11時00分～21時30分
",1,35.762622,139.729525,東京,なし,,,0,北区,赤羽,赤羽,area:赤羽|feature:24h,
スギタダンススクール,〒435-0006 静岡県浜松市東区下石田町１５５８,,https://sugitadance.com/,053-421-7277,"2024-02-29 木曜日 10時00分～22時00分
2024-03-01 金曜日 10時00分～22時00分
2024-03-02 土曜日 10時00分～22時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 10時00分～22時00分
2024-03-05 火曜日 10時00分～22時00分
2024-03-06 水曜日 10時00分～22時00分
",1,34.7357244,137.7828035,東京,なし,,,0,その他,その他,その他,feature:24h,
スキップスタジオ成城,〒157-0066 東京都世田谷区成城１丁目１?５,,http://studio.skip-corporation.com/seijo/index.php,070-3257-2196,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6325588,139.6054397,東京,なし,,,0,世田谷区,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,area:下北沢|feature:24h,
スタジオ ACTY,〒190-0023 東京都立川市柴崎町３丁目１４?６,,http://studio-acty.com/,090-2155-7991,,1,35.6939369,139.4110012,東京,立川駅,521,立川駅,1,立川市,立川,立川,area:立川|station:立川駅,
スタジオ in フットサルステージ（多摩センター）,〒206-0033 東京都多摩市落合１丁目４７ ニューシティ多摩センタービル ８F,,http://futsal-stage.com/studio/,042-316-7231,"2024-02-29 木曜日 12時00分～23時30分
2024-03-01 金曜日 12時00分～23時30分
2024-03-02 土曜日 8時00分～23時30分
2024-03-03 日曜日 8時00分～23時30分
2024-03-04 月曜日 12時00分～23時30分
2024-03-05 火曜日 12時00分～23時30分
2024-03-06 水曜日 12時00分～23時30分
",1,35.6218491,139.423251,東京,なし,,,0,多摩市,多摩センター,多摩センター,area:多摩センター|feature:24h,
スタジオ With The Heart,"関口１丁目１５ー１ ミサオビルB１F, 文京区 東京都 112-0014",,http://studiowth.com/,03-5579-8548,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.7082251,139.7341482,東京,なし,,,0,文京区,後楽園,後楽園,area:後楽園|feature:24h,
スタジオ アッコルタ,〒150-0013 東京都渋谷区恵比寿２丁目６?２９ ACCOLTATS B1F,,https://www.accolta.com/,03-3440-5105,"2024-02-29 木曜日 定休日
2024-03-01 金曜日 10時00分～21時00分
2024-03-02 土曜日 10時00分～21時00分
2024-03-03 日曜日 10時00分～21時00分
2024-03-04 月曜日 10時00分～21時00分
2024-03-05 火曜日 10時00分～21時00分
2024-03-06 水曜日 10時00分～21時00分
",1,35.6467854,139.7173836,東京,恵比寿駅,658,恵比寿駅,1,渋谷区,渋谷,渋谷|恵比寿|代官山|原宿,area:渋谷|station:恵比寿駅|feature:24h,
スタジオ アドバンス,〒263-0031 千葉県千葉市稲毛区稲毛東３丁目１６?２,,http://studio-advance.com/,090-7186-1475,"2024-02-29 木曜日 9時00分～23時00分
2024-03-01 金曜日 9時00分～23時00分
2024-03-02 土曜日 9時00分～23時00分
2024-03-03 日曜日 9時00分～22時00分
2024-03-04 月曜日 9時00分～23時00分
2024-03-05 火曜日 9時00分～23時00分
2024-03-06 水曜日 9時00分～23時00分
",1,35.6368919,140.0916002,東京,なし,,,0,その他,その他,その他,feature:24h,
スタジオ エモーティフ,〒141-0031 東京都品川区西五反田５丁目２２?５ 藤ハイム B1F,,https://emotif.jp/,090-9382-6258,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6232647,139.7141502,東京,五反田駅,911,五反田駅,1,品川区,品川,品川|五反田|大井町|目黒,area:品川|station:五反田駅|feature:24h,
スタジオ エルヴール,〒142-0063 東京都品川区荏原４丁目１７?１９ エルヴール 203,,http://studio-eleveur.com/,03-3782-2800,"2024-02-29 木曜日 9時00分～22時00分
2024-03-01 金曜日 9時00分～22時00分
2024-03-02 土曜日 9時00分～22時00分
2024-03-03 日曜日 9時00分～22時00分
2024-03-04 月曜日 9時00分～22時00分
2024-03-05 火曜日 9時00分～22時00分
2024-03-06 水曜日 9時00分～22時00分
",1,35.614177,139.705452,東京,なし,,,0,品川区,品川,品川|五反田|大井町|目黒,area:品川|feature:24h,
スタジオ エレ,〒161-0034 東京都新宿区上落合３丁目２３?１７,,http://www.dancestudio-ailee.jp/,0120-555-043,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.710251,139.682634,東京,なし,,,0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|feature:24h,
スタジオ クロア,〒145-0071 東京都大田区田園調布２丁目４６?３ ライトハウス田園調布 1F,,https://studiocroix.jp/,03-3722-7096,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 13時00分～22時00分
2024-03-01 金曜日 9時00分～21時00分
2024-03-02 土曜日 9時00分～18時30分
2024-03-03 日曜日 9時00分～17時00分
2024-03-04 月曜日 16時00分～20時00分
2024-03-05 火曜日 13時00分～22時00分
2024-03-06 水曜日 9時00分～18時00分
",1,35.5971246,139.6714581,東京,自由が丘駅,1156,自由が丘駅,1,大田区,蒲田,蒲田,area:蒲田|station:自由が丘駅|feature:24h,
スタジオ クロア 第１スタジオ,〒145-0071 東京都大田区田園調布２丁目４６?１６,,https://studiocroix.jp/,03-3722-7096,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 13時00分～22時00分
2024-03-01 金曜日 9時00分～21時00分
2024-03-02 土曜日 9時30分～18時30分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 定休日
2024-03-05 火曜日 13時00分～22時00分
2024-03-06 水曜日 9時00分～18時00分
",1,35.597136,139.671206,東京,自由が丘駅,1150,自由が丘駅,1,大田区,蒲田,蒲田,area:蒲田|station:自由が丘駅|feature:24h,
ダンススタジオ ability,〒192-0066 東京都八王子市本町２４?８ クラフトビル 1F,,https://studio-ability.com/,,"2024-02-29 木曜日 17時00分～21時00分
2024-03-01 金曜日 17時00分～22時30分
2024-03-02 土曜日 11時00分～19時30分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 17時00分～22時30分
2024-03-05 火曜日 17時00分～21時00分
2024-03-06 水曜日 16時00分～21時00分
",1,35.6622675,139.3317412,東京,八王子駅,981,八王子駅,1,八王子市,八王子,八王子,area:八王子|station:八王子駅|feature:24h,
スタジオ シヴァ音楽教室/中板橋,〒173-0016 東京都板橋区中板橋２０?１ プラシア 201(2階 モダ・ビエント中板橋,,https://www.ratel-story.com/studiosiva-musicschool?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5280847348101629780,050-3574-0048,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 10時00分～5時00分
2024-03-01 金曜日 10時00分～5時00分
2024-03-02 土曜日 10時00分～5時00分
2024-03-03 日曜日 10時00分～5時00分
2024-03-04 月曜日 10時00分～5時00分
2024-03-05 火曜日 10時00分～5時00分
2024-03-06 水曜日 10時00分～5時00分
",1,35.7556939,139.6964309,東京,なし,,,0,板橋区,成増,成増,area:成増|feature:24h,
レンタルスタジオNSA 1号店,〒001-0014 北海道札幌市北区北１４条西１丁目２?５ 三晃ビル,,https://www.studio-nsa.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,43.0782135,141.3514096,東京,なし,,,0,北区,赤羽,赤羽,area:赤羽|feature:24h,
スタジオ ジュエル,〒179-0075 東京都練馬区高松１丁目１２?８,,http://www.studiojewel-r.com/,090-4835-3767,"2024-02-29 木曜日 15時30分～21時00分
2024-03-01 金曜日 15時30分～21時00分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 15時30分～21時00分
2024-03-05 火曜日 15時30分～21時00分
2024-03-06 水曜日 定休日
",1,35.7461937,139.6329319,東京,なし,,,0,練馬区,練馬,練馬,area:練馬|feature:24h,
スタジオ ダ・ヴィンチ,"〒105-0021 東京都港区東新橋２丁目４?６ パラッツオシエナ 1 2,3F",,https://studio-davinci.jp/,03-6432-0160,"2024-02-29 木曜日 10時00分～19時00分
2024-03-01 金曜日 10時00分～19時00分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 10時00分～19時00分
2024-03-05 火曜日 10時00分～19時00分
2024-03-06 水曜日 10時00分～19時00分
",1,35.6616165,139.7576011,東京,新橋駅,517,新橋駅|浜松町駅,2,港区,六本木,六本木|赤坂|麻布|新橋,area:六本木|station:新橋駅|station:浜松町駅|feature:24h,
スタジオ ノバック,〒185-0021 東京都国分寺市南町２丁目１７?７ B.C.B TAKURA 3F,,https://noback.co.jp/school/,042-359-7630,,1,35.6997243,139.4832291,東京,国分寺駅,235,国分寺駅,1,国分寺市,国分寺,国分寺,area:国分寺|station:国分寺駅,
スタジオククナ,〒114-0032 東京都北区中十条２丁目９?１５ 地下１階 瀬武興業第一ビル,,https://studio-kukuna.amebaownd.com/,,"2024-02-29 木曜日 10時00分～21時00分
2024-03-01 金曜日 10時00分～21時00分
2024-03-02 土曜日 10時00分～21時00分
2024-03-03 日曜日 10時00分～21時00分
2024-03-04 月曜日 10時00分～21時00分
2024-03-05 火曜日 10時00分～21時00分
2024-03-06 水曜日 10時00分～21時00分
",1,35.7621515,139.726861,東京,なし,,,0,北区,赤羽,赤羽,area:赤羽|feature:24h,
スタジオ プリメーラ(スタジオ プリメラ),〒169-0072 東京都新宿区大久保２丁目８?８ 青葉ビル,,http://primera.moo.jp/?page_id=2,080-8948-3449,"2024-02-29 木曜日 9時00分～23時00分
2024-03-01 金曜日 9時00分～23時00分
2024-03-02 土曜日 9時00分～23時00分
2024-03-03 日曜日 9時00分～23時00分
2024-03-04 月曜日 9時00分～23時00分
2024-03-05 火曜日 9時00分～23時00分
2024-03-06 水曜日 9時00分～23時00分
",1,35.7026962,139.7073524,東京,新大久保駅,678,新大久保駅|西武新宿駅|高田馬場駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新大久保駅|station:西武新宿駅|station:高田馬場駅|feature:24h,
CREO王子駅前｜ダンススタジオ｜レンタルスペース,〒114-0002 東京都北区王子１丁目２?１ 倉長ビル 402号室,,https://spacemarket.com/p/-N7dQTRzl0H4tYXS,,"LGBTQ フレンドリー2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.753065,139.7371592,東京,なし,,,0,北区,赤羽,赤羽,area:赤羽|feature:24h,
Studio Face,〒114-0021 東京都北区岸町１丁目６?２０ 地下1階 レジェンド王子,,https://studioface0712.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.7547057,139.7351256,東京,なし,,,0,北区,赤羽,赤羽,area:赤羽|feature:24h,
